event,gender,clas_s,heat,typ,wind,name,year,position,school,mark,points
Decathlon Open Finals.Html,Boys,Open,,Finals,,Malique Graham,24,4,nil,5446x,6
Decathlon Open Finals.Html,Boys,Open,,Finals,,Rojay Robertson,24,5,nil,5308x,5
Decathlon Open Finals.Html,Boys,Open,,Finals,,Kemal Benjamin,24,6,nil,5086x,4
Decathlon Open Finals.Html,Boys,Open,,Finals,,Ajonie Barrett,24,7,nil,5074x,3
Decathlon Open Finals.Html,Boys,Open,,Finals,,Jaydon Parkes,24,8,nil,5050x,2
Decathlon Open Finals.Html,Boys,Open,,Finals,,Davin Davis,24,9,nil,4998x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High School,24,10,nil,4911x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Antonio,24,11,nil,4501x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High School,24,12,nil,4349x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Goldi,24,13,nil,4001x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Kimeka Smith,24,1,nil,4582x,12
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Rhianna Lewis,24,2,nil,4387x,10
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Julissia Knight,24,3,nil,4314x,8
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Juwonna Whitehorne,24,4,nil,4267x,6
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Ishna James,24,5,nil,4069x,5
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Odessa France,24,6,nil,3976x,4
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Omelia Jeffrey,24,7,nil,3854x,3
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Jayla-Shae Wright,24,8,nil,3653x,2
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Safia Bennett,24,9,nil,3598x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Hi,24,10,nil,3494x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Elizabet,24,11,nil,3301x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,College,24,12,nil,3121x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,of M,24,13,nil,2921x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,High School,24,14,nil,2753x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Hig,24,15,nil,2574x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,H,24,16,nil,2521x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Queen's School,24,17,nil,2400x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Harbour,24,18,nil,2139x,0
